236666, -1195, 4185, -450, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236709, -759, 4620, -418, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236752, -1011, 3866, -364, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236795, -552, 4035, -107, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236838, -660, 4052, -104, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236881, -704, 4286, -249, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236924, -663, 4125, -515, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
236968, -780, 3249, -705, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237002, -804, 3195, -371, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237036, -741, 3521, -256, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237070, -742, 3727, -468, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237104, -904, 4223, -429, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237138, -902, 4103, -308, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237172, -950, 3901, -534, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237206, -918, 4166, -669, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237240, -916, 3961, -704, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
237274, -812, 4093, -766, 78, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
