496226, -971, 3848, -1017, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496262, -927, 3829, -1003, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496299, -937, 3865, -1024, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496336, -930, 3871, -1026, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496372, -964, 3846, -1022, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496409, -963, 3861, -995, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496445, -954, 3855, -1024, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496482, -935, 3908, -1049, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496519, -913, 3864, -1075, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496557, -930, 3864, -1005, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496595, -946, 3840, -1025, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496634, -951, 3830, -1021, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496672, -948, 3864, -1036, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496710, -948, 3865, -1042, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496749, -944, 3852, -1037, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496787, -943, 3872, -1008, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496825, -937, 3864, -1009, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496864, -910, 3830, -1021, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496902, -948, 3867, -1022, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496941, -952, 3877, -1010, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
496977, -940, 3867, -1014, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497013, -967, 3843, -1014, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497049, -947, 3854, -1010, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497085, -917, 3856, -1066, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497121, -959, 3821, -966, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497157, -936, 3884, -1070, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497193, -953, 3838, -983, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497229, -925, 3855, -1026, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497265, -955, 3836, -1036, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497302, -913, 3862, -1042, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497346, -928, 3880, -1007, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497390, -945, 3896, -1050, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497434, -950, 3904, -1009, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497478, -953, 3890, -1042, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497522, -925, 3857, -1021, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
497566, -914, 3813, -1059, 75, 4e33e0bf-a060-443e-8743-a65726e7facc, , berdiri, bersedekap, , 
